"","grid2","grid1","dist","pairid","dcat"
"331","40_96","48_103",1048,"40_96.48_103","901-1100"
"332","40_94","48_103",1140,"40_94.48_103","1101-1300"
"333","40_92","48_103",1245,"40_92.48_103","1101-1300"
"334","40_91","48_103",1301,"40_91.48_103","1301-1500"
"335","40_90","48_103",1360,"40_90.48_103","1301-1500"
"336","40_89","48_103",1421,"40_89.48_103","1301-1500"
"337","40_84","48_103",1746,"40_84.48_103",">1500"
"338","40_83","48_103",1814,"40_83.48_103",">1500"
"339","40_79","48_103",2094,"40_79.48_103",">1500"
"340","40_77","48_103",2237,"40_77.48_103",">1500"
"341","40_76","48_103",2309,"40_76.48_103",">1500"
"342","40_75","48_103",2381,"40_75.48_103",">1500"
"343","39_103","48_103",1000,"39_103.48_103","901-1100"
"344","39_102","48_103",1003,"39_102.48_103","901-1100"
"345","39_101","48_103",1013,"39_101.48_103","901-1100"
"346","39_100","48_103",1028,"39_100.48_103","901-1100"
"347","39_99","48_103",1050,"39_99.48_103","901-1100"
"348","39_98","48_103",1077,"39_98.48_103","901-1100"
"349","39_97","48_103",1109,"39_97.48_103","1101-1300"
"350","39_96","48_103",1146,"39_96.48_103","1101-1300"
"351","39_94","48_103",1231,"39_94.48_103","1101-1300"
"352","39_93","48_103",1280,"39_93.48_103","1101-1300"
"353","39_92","48_103",1331,"39_92.48_103","1301-1500"
"354","39_91","48_103",1385,"39_91.48_103","1301-1500"
"355","39_90","48_103",1441,"39_90.48_103","1301-1500"
"356","39_89","48_103",1499,"39_89.48_103","1301-1500"
"357","39_88","48_103",1560,"39_88.48_103",">1500"
"358","39_83","48_103",1882,"39_83.48_103",">1500"
"359","39_79","48_103",2156,"39_79.48_103",">1500"
"360","39_78","48_103",2227,"39_78.48_103",">1500"
"361","39_77","48_103",2297,"39_77.48_103",">1500"
"362","39_76","48_103",2369,"39_76.48_103",">1500"
"363","39_75","48_103",2440,"39_75.48_103",">1500"
"364","38_103","48_103",1111,"38_103.48_103","1101-1300"
"365","38_102","48_103",1114,"38_102.48_103","1101-1300"
"366","38_101","48_103",1123,"38_101.48_103","1101-1300"
"367","38_100","48_103",1137,"38_100.48_103","1101-1300"
"368","38_99","48_103",1157,"38_99.48_103","1101-1300"
"369","38_98","48_103",1182,"38_98.48_103","1101-1300"
"370","38_97","48_103",1211,"38_97.48_103","1101-1300"
"371","38_96","48_103",1246,"38_96.48_103","1101-1300"
"372","38_95","48_103",1284,"38_95.48_103","1101-1300"
"373","38_94","48_103",1326,"38_94.48_103","1301-1500"
"374","38_93","48_103",1372,"38_93.48_103","1301-1500"
"375","38_92","48_103",1420,"38_92.48_103","1301-1500"
"376","38_89","48_103",1582,"38_89.48_103",">1500"
"377","38_88","48_103",1640,"38_88.48_103",">1500"
"378","38_87","48_103",1699,"38_87.48_103",">1500"
"379","38_86","48_103",1761,"38_86.48_103",">1500"
"380","38_85","48_103",1824,"38_85.48_103",">1500"
"381","38_83","48_103",1953,"38_83.48_103",">1500"
"382","38_79","48_103",2223,"38_79.48_103",">1500"
"383","38_78","48_103",2292,"38_78.48_103",">1500"
"384","38_77","48_103",2362,"38_77.48_103",">1500"
"385","38_76","48_103",2432,"38_76.48_103",">1500"
"386","38_75","48_103",2503,"38_75.48_103",">1500"
"387","37_102","48_103",1225,"37_102.48_103","1101-1300"
"388","37_101","48_103",1233,"37_101.48_103","1101-1300"
"389","37_100","48_103",1246,"37_100.48_103","1101-1300"
"390","37_99","48_103",1264,"37_99.48_103","1101-1300"
"391","37_98","48_103",1288,"37_98.48_103","1101-1300"
"392","37_93","48_103",1466,"37_93.48_103","1301-1500"
"393","37_89","48_103",1667,"37_89.48_103",">1500"
"394","37_88","48_103",1723,"37_88.48_103",">1500"
"395","37_87","48_103",1781,"37_87.48_103",">1500"
