"","pairid","state1","state2","dist","dcat","reg"
"432","ME-IL","IL","ME",1733,">1500","east"
"433","MA-IL","IL","MA",1476,"1301-1500","east"
"434","MI-IL","IL","MI",537,"501-700","east"
"435","MT-IL","IL","MT",1817,">1500","both"
"436","NH-IL","IL","NH",1514,">1500","east"
"437","NM-IL","IL","NM",1622,">1500","both"
"438","NC-IL","IL","NC",1000,"901-1100","east"
"439","OK-IL","IL","OK",884,"701-900","both"
"440","VI-IL","IL","VI",3413,">1500","both"
"441","RI-IL","IL","RI",1493,"1301-1500","east"
"442","TN-IL","IL","TN",531,"501-700","east"
"443","VT-IL","IL","VT",1436,"1301-1500","east"
"444","WA-IL","IL","WA",2624,">1500","both"
"445","WI-IL","IL","WI",512,"501-700","east"
"446","AS-IL","IL","AS",10317,">1500","both"
"447","GU-IL","IL","GU",11886,">1500","both"
"448","MP-IL","IL","MP",11670,">1500","both"
"449","AZ-IA","IA","AZ",1805,">1500","west"
"450","AR-IA","IA","AR",802,"701-900","west"
"451","CA-IA","IA","CA",2294,">1500","west"
"452","CT-IA","IA","CT",1722,">1500","both"
"453","FL-IA","IA","FL",1790,">1500","both"
"454","GA-IA","IA","GA",1372,"1301-1500","both"
"455","ID-IA","IA","ID",1733,">1500","west"
"456","IL-IA","IA","IL",425,"301-500","both"
"458","KS-IA","IA","KS",575,"501-700","west"
"459","LA-IA","IA","LA",1230,"1101-1300","west"
"460","MD-IA","IA","MD",1454,"1301-1500","both"
"461","MN-IA","IA","MN",476,"301-500","west"
"462","MS-IA","IA","MS",1089,"901-1100","both"
"463","MO-IA","IA","MO",421,"301-500","west"
"464","NE-IA","IA","NE",528,"501-700","west"
"465","NV-IA","IA","NV",1973,">1500","west"
"466","NJ-IA","IA","NJ",1593,">1500","both"
"467","NY-IA","IA","NY",1479,"1301-1500","both"
"468","ND-IA","IA","ND",812,"701-900","west"
"469","OH-IA","IA","OH",919,"901-1100","both"
"470","PA-IA","IA","PA",1316,"1301-1500","both"
"471","SC-IA","IA","SC",1428,"1301-1500","both"
"472","SD-IA","IA","SD",606,"501-700","west"
"473","TX-IA","IA","TX",1285,"1101-1300","west"
"474","UT-IA","IA","UT",1563,">1500","west"
"475","VA-IA","IA","VA",1348,"1301-1500","both"
"476","WY-IA","IA","WY",1158,"1101-1300","west"
"477","PR-IA","IA","PR",3679,">1500","west"
"478","OR-IA","IA","OR",2206,">1500","west"
"479","WV-IA","IA","WV",1158,"1101-1300","both"
"480","AL-IA","IA","AL",1187,"1101-1300","both"
"481","AK-IA","IA","AK",4435,">1500","west"
"482","CO-IA","IA","CO",1075,"901-1100","west"
"483","DE-IA","IA","DE",1560,">1500","both"
"484","DC-IA","IA","DC",1439,"1301-1500","west"
"485","HI-IA","IA","HI",6283,">1500","west"
"486","IN-IA","IA","IN",654,"501-700","both"
"487","KY-IA","IA","KY",865,"701-900","both"
"488","ME-IA","IA","ME",1982,">1500","both"
"489","MA-IA","IA","MA",1786,">1500","both"
"490","MI-IA","IA","MI",743,"701-900","both"
"491","MT-IA","IA","MT",1393,"1301-1500","west"
"492","NH-IA","IA","NH",1795,">1500","both"
"493","NM-IA","IA","NM",1390,"1301-1500","west"
"494","NC-IA","IA","NC",1423,"1301-1500","both"
"495","OK-IA","IA","OK",800,"701-900","west"
"496","VI-IA","IA","VI",3835,">1500","west"
"497","RI-IA","IA","RI",1814,">1500","both"
"498","TN-IA","IA","TN",928,"901-1100","both"
"499","VT-IA","IA","VT",1707,">1500","both"
"500","WA-IA","IA","WA",2201,">1500","west"
"501","WI-IA","IA","WI",401,"301-500","both"
"502","AS-IA","IA","AS",10040,">1500","west"
"503","GU-IA","IA","GU",11461,">1500","west"
"504","MP-IA","IA","MP",11246,">1500","west"
"505","AZ-KS","KS","AZ",1278,"1101-1300","west"
"506","AR-KS","KS","AR",663,"501-700","west"
"507","CA-KS","KS","CA",1869,">1500","west"
"508","CT-KS","KS","CT",2208,">1500","both"
"509","FL-KS","KS","FL",1830,">1500","both"
"510","GA-KS","KS","GA",1498,"1301-1500","both"
"511","ID-KS","KS","ID",1507,">1500","west"
"512","IL-KS","KS","IL",811,"701-900","both"
"513","IA-KS","KS","IA",575,"501-700","west"
"515","LA-KS","KS","LA",1011,"901-1100","west"
"516","MD-KS","KS","MD",1875,">1500","both"
"517","MN-KS","KS","MN",932,"901-1100","west"
"518","MS-KS","KS","MS",1013,"901-1100","both"
"519","MO-KS","KS","MO",516,"501-700","west"
"520","NE-KS","KS","NE",359,"301-500","west"
"521","NV-KS","KS","NV",1585,">1500","west"
"522","NJ-KS","KS","NJ",2048,">1500","both"
"523","NY-KS","KS","NY",1988,">1500","both"
"524","ND-KS","KS","ND",1010,"901-1100","west"
"525","OH-KS","KS","OH",1356,"1301-1500","both"
"526","PA-KS","KS","PA",1781,">1500","both"
"527","SC-KS","KS","SC",1649,">1500","both"
"528","SD-KS","KS","SD",679,"501-700","west"
"529","TX-KS","KS","TX",782,"701-900","west"
"530","UT-KS","KS","UT",1156,"1101-1300","west"
"531","VA-KS","KS","VA",1713,">1500","both"
"532","WY-KS","KS","WY",922,"901-1100","west"
"533","PR-KS","KS","PR",3818,">1500","west"
"534","OR-KS","KS","OR",1949,">1500","west"
"535","WV-KS","KS","WV",1546,">1500","both"
"536","AL-KS","KS","AL",1221,"1101-1300","both"
"537","AK-KS","KS","AK",4534,">1500","west"
"538","CO-KS","KS","CO",626,"501-700","west"
"539","DE-KS","KS","DE",1985,">1500","both"
"540","DC-KS","KS","DC",1855,">1500","west"
