"","Year","Index","Q25","Q975","Stratum"
"1463",1972,75.3137700605282,53.1346664247634,103.293409363551,"NJ"
"1464",1973,67.9653829697927,47.5750840109283,93.4524009108334,"NJ"
"1465",1974,55.8004786714892,39.4603046842182,75.4655802690332,"NJ"
"1466",1975,50.3557114209546,35.3094007299162,69.1869701397563,"NJ"
"1467",1976,52.2400097656068,37.5746182859869,70.8476226885763,"NJ"
"1468",1977,47.2581784242677,33.5020731101723,64.3875473957303,"NJ"
"1469",1978,38.8169182774082,27.7353275967146,53.3896997983726,"NJ"
"1470",1979,33.1304181810013,24.0986420527213,45.1015672141847,"NJ"
"1471",1980,36.1436781307156,26.6866292984456,48.1803087981009,"NJ"
"1472",1981,38.2462468620502,27.376838246522,52.5700646928647,"NJ"
"1473",1982,25.5135080640794,18.877433335428,33.8131334453235,"NJ"
"1474",1983,20.5896828410229,15.1374002404344,27.3953897876653,"NJ"
"1475",1984,20.7338308588846,15.3202975717919,27.6219022400733,"NJ"
"1476",1985,20.7102625022299,15.1377452190545,27.6546757965898,"NJ"
"1477",1986,18.611230214829,13.7469202216991,24.6301819630056,"NJ"
"1478",1987,21.8069814013003,16.325418520788,28.5447497381331,"NJ"
"1479",1988,32.5953468659272,25.4907380437205,41.6600543492485,"NJ"
"1480",1989,29.4805770114627,22.9791579392466,37.5537775577214,"NJ"
"1481",1990,32.3545252578361,24.7853395989685,41.5618941957079,"NJ"
"1482",1991,42.4569811097999,32.8602637081254,54.0988335277096,"NJ"
"1483",1992,40.9084633974162,32.2655391984752,51.2745088377069,"NJ"
"1484",1993,27.3823163488589,21.3702294733304,34.6509684598089,"NJ"
"1485",1994,21.8799395384111,16.9131633063381,27.8188666936043,"NJ"
"1486",1995,17.8506535635165,13.6862628491384,22.6334060663479,"NJ"
"1487",1996,17.6135771095948,13.5833484268584,22.3551498780404,"NJ"
"1488",1997,16.8518260748274,13.1094858065661,21.4379795465357,"NJ"
"1489",1998,17.8342427913862,13.7685766270552,22.9025954018181,"NJ"
"1490",1999,17.8739506978165,13.9818163769698,22.66763733743,"NJ"
"1491",2000,17.0434256786036,13.2891482285635,21.6703558159557,"NJ"
"1492",2001,16.7177389414376,12.9799825777906,20.9764235549187,"NJ"
"1493",2002,18.2697032021314,14.0452211468076,23.329351667526,"NJ"
"1494",2003,20.0654588581809,15.8413035006496,25.5983860294617,"NJ"
"1495",2004,18.7625682313097,14.5214972556893,23.9474385559159,"NJ"
"1496",2005,18.1466268144424,14.3474303438226,23.1046392144136,"NJ"
"1497",2006,18.4514820552298,14.6375215460196,23.2485983406496,"NJ"
"1498",2007,14.4925312629486,11.5540360197652,18.0685062177455,"NJ"
"1499",2008,11.1873983251864,8.81832011570537,14.1600416430426,"NJ"
"1500",2009,9.67002848334866,7.60853885719085,12.2559325069162,"NJ"
"1501",2010,9.42850021697237,7.33249714645354,11.9368760353539,"NJ"
"1502",2011,9.76271345210887,7.70263209977803,12.1673650696507,"NJ"
"1503",2012,10.7766395527049,8.49153510223888,13.6629501420224,"NJ"
"1504",2013,10.1911893053551,8.12802286761095,12.727411130182,"NJ"
"1505",2014,9.58848939682488,7.50147069830114,12.2074107658337,"NJ"
"1506",2015,9.26990943619989,7.34887989219989,11.5373207578218,"NJ"
"1507",2016,8.28342972265102,6.46543756497581,10.3544073599402,"NJ"
"1508",2017,7.84984307874991,5.87179841533484,10.246020484155,"NJ"
"1509",1966,15.5861116267407,10.855539875088,21.7930220411755,"OK"
"1510",1967,14.7073730249949,10.6047416338727,19.9671565826416,"OK"
"1511",1968,13.9277747077281,9.88501102768655,19.1341039898722,"OK"
"1512",1969,10.9538060001329,8.05188328733663,14.6446763408167,"OK"
"1513",1970,9.54048339731851,6.99524008487274,12.7423873464334,"OK"
"1514",1971,9.38517606186276,6.7934570106385,12.5900329552899,"OK"
"1515",1972,9.34283877595723,6.75377686215935,12.4712132449057,"OK"
"1516",1973,7.58136096708857,5.59254319703224,10.2115843921397,"OK"
"1517",1974,6.61312997684237,4.821663812257,8.88719606461602,"OK"
"1518",1975,5.96342598940137,4.32746390997279,8.05965650738828,"OK"
"1519",1976,5.15561233543121,3.65945661295597,7.00553982824673,"OK"
"1520",1977,4.06538105169671,2.90596467403626,5.47224313097364,"OK"
"1521",1978,3.70785901748449,2.60464525996297,5.01326562074038,"OK"
"1522",1979,4.17427449840435,3.03568956246566,5.71251404752839,"OK"
"1523",1980,3.57894927304122,2.59783655575413,4.76856552245548,"OK"
"1524",1981,3.48367984357228,2.57140708103006,4.68587151320997,"OK"
"1525",1982,3.03452750815137,2.1772623451511,4.13665148678434,"OK"
"1526",1983,3.03116025305767,2.20545337415514,4.20345532594422,"OK"
"1527",1984,2.44603157563781,1.75346582289272,3.29198343475888,"OK"
"1528",1985,2.25554586341835,1.56746211679485,3.06049028415343,"OK"
"1529",1986,2.67246833741638,1.92583281526355,3.62409260970256,"OK"
"1530",1987,3.06117834456153,2.24331223604124,4.140864137897,"OK"
"1531",1988,3.35301996430944,2.48793690465183,4.48109327048568,"OK"
"1532",1989,3.55043246618993,2.6620041264507,4.71765481548,"OK"
"1533",1990,3.01591775786716,2.2716279889166,3.98992796809695,"OK"
"1534",1991,2.89610489063696,2.20345209949479,3.79071502304937,"OK"
"1535",1992,2.65885908367265,1.99579603957405,3.38650711305898,"OK"
"1536",1993,2.61822389455687,1.98977297124579,3.41483672222008,"OK"
"1537",1994,2.71877604248222,2.06267230056359,3.5708825515534,"OK"
"1538",1995,2.66827669188252,2.0262267496723,3.48103501224258,"OK"
"1539",1996,2.1923374611983,1.67437243250677,2.87848014023264,"OK"
"1540",1997,1.88245437612889,1.41846277832301,2.54049300645058,"OK"
"1541",1998,1.41208184591745,1.0455543745935,1.85977243494923,"OK"
"1542",1999,1.27172690301631,0.941834027105196,1.68326077518052,"OK"
"1543",2000,1.40586473764636,1.02755178605762,1.87500329987164,"OK"
"1544",2001,1.21978564497828,0.903515923396715,1.60447816106255,"OK"
"1545",2002,1.1544500408475,0.860129187060756,1.51491974618136,"OK"
"1546",2003,1.09617173578944,0.806161117408408,1.4635476948966,"OK"
"1547",2004,1.01941767594094,0.742566633352454,1.37823034126741,"OK"
"1548",2005,0.860475454495647,0.622839861743008,1.14718548212282,"OK"
"1549",2006,0.77964009808613,0.568785950955916,1.04949141889013,"OK"
"1550",2007,0.722044230291811,0.517998549221795,0.971017641047524,"OK"
"1551",2008,0.794835798411938,0.579538554451992,1.07890639141467,"OK"
"1552",2009,0.727399103896535,0.529491674367041,0.971616861702721,"OK"
"1553",2010,0.682250450586297,0.509084338916049,0.905801445000153,"OK"
"1554",2011,0.629542766701936,0.45957170229169,0.841476094633223,"OK"
"1555",2012,0.533515815242977,0.374574714201741,0.714966273978508,"OK"
"1556",2013,0.458732279284846,0.321399312442402,0.639263683352406,"OK"
"1557",2014,0.447175196851528,0.314475504428629,0.623310540891436,"OK"
"1558",2015,0.396184627591804,0.269591008991305,0.553515572837855,"OK"
"1559",2016,0.346851325437411,0.230557925850351,0.496361643821793,"OK"
"1560",2017,0.338425669222775,0.212283711684372,0.498967789581082,"OK"
"1561",1966,7.4028309047488,4.56534076789244,11.4413631033023,"ON"
"1562",1967,7.32862773731728,4.96630264557044,10.5989474455593,"ON"
"1563",1968,7.42497272075951,5.20129284619539,10.4796416830584,"ON"
"1564",1969,6.75903602629493,4.70103962754237,9.30316207691427,"ON"
"1565",1970,6.66337210169242,4.656607851484,8.94287372814487,"ON"
"1566",1971,6.66527125120213,4.63097749266093,8.88175742263126,"ON"
"1567",1972,7.77613126510254,5.70471328087376,10.2782843068103,"ON"
"1568",1973,7.96982602347075,5.86359707266073,10.4487530641007,"ON"
"1569",1974,9.2463607390995,6.8210928371187,12.4141813516646,"ON"
"1570",1975,9.37457426812816,6.93041744345488,12.5870737091242,"ON"
"1571",1976,9.46555989864651,7.15014595469363,12.4688834080724,"ON"
"1572",1977,8.91227021821884,6.68109862659069,11.6633814861156,"ON"
"1573",1978,8.23859900522459,6.10373446674926,10.8284169029412,"ON"
"1574",1979,8.43287512083663,6.31927141548396,11.0452131953259,"ON"
"1575",1980,8.90225669233756,6.7819104855598,11.6529209136311,"ON"
"1576",1981,8.5857808773342,6.48611908551392,11.1757013938728,"ON"
"1577",1982,8.63988385574246,6.56740715309258,11.2308448789564,"ON"
"1578",1983,7.99903399951246,6.05097779361042,10.32743154349,"ON"
"1579",1984,7.80007121268002,5.82516593361412,10.1400773465469,"ON"
"1580",1985,7.45838967806756,5.650424356657,9.59820002482269,"ON"
"1581",1986,7.6807290355379,5.88789356082033,9.9217364009433,"ON"
"1582",1987,7.03977517804088,5.29510424079446,9.10298082132392,"ON"
"1583",1988,7.10661512687801,5.40802723172133,9.2235178207827,"ON"
"1584",1989,7.29940445599839,5.53898773100207,9.32238318545623,"ON"
"1585",1990,7.75334244832057,5.94546542569618,9.90528980588724,"ON"
"1586",1991,8.15439190041706,6.24681243663499,10.2780918326196,"ON"
"1587",1992,8.94006181029147,7.1170404821345,11.1527118553436,"ON"
"1588",1993,9.3615682386967,7.40088879155332,11.734073360499,"ON"
"1589",1994,9.46021763037785,7.48937316757685,11.8125715115413,"ON"
"1590",1995,9.65923855180679,7.79674513839845,12.2699540253691,"ON"
"1591",1996,9.01092713927669,7.12037361873964,11.299220394171,"ON"
"1592",1997,9.23569900326317,7.35473735423181,11.638346233336,"ON"
"1593",1998,8.87929039268492,7.02255010046343,11.0306620619462,"ON"
"1594",1999,9.01160480447493,7.14956263429344,11.2315361077809,"ON"
"1595",2000,8.80064748558086,6.99449116761359,10.9912070284494,"ON"
"1596",2001,8.44430512540354,6.63534853374256,10.4052690361951,"ON"
"1597",2002,8.95003823218064,7.15966709291086,11.0907735326241,"ON"
"1598",2003,9.73009541463625,7.81233428008323,12.3827948464784,"ON"
"1599",2004,9.9273526120164,7.81591803233625,12.5829481321143,"ON"
"1600",2005,8.54347007846135,6.75668779090093,10.6074168598881,"ON"
"1601",2006,7.27618476887629,5.61784508635915,8.97242207801632,"ON"
"1602",2007,7.86659440306102,6.2640629933969,9.83873080146463,"ON"
"1603",2008,7.47577610024462,5.98997443514313,9.45174253478634,"ON"
"1604",2009,7.1431276606246,5.74063671793485,8.89456902467831,"ON"
"1605",2010,6.41140728612463,5.16617763987314,7.95869391746833,"ON"
"1606",2011,5.35852790572641,4.04704988985431,6.86280833818877,"ON"
"1607",2012,5.09544591700984,3.78702231820798,6.5911167552973,"ON"
"1608",2013,5.61018557100771,4.29686384636411,7.06200845332511,"ON"
"1609",2014,6.40729725832006,5.04461163972781,8.12066424616927,"ON"
"1610",2015,6.77693533491743,5.38831008777954,8.73028018816001,"ON"
"1611",2016,6.44864625968106,5.04253907930109,8.22882952457058,"ON"
"1612",2017,6.32344866012288,4.73998284700172,8.36344274126641,"ON"
"1613",1966,0.576843593550814,0.329101457839543,1.00807257265769,"OR"
"1614",1967,0.571813349327712,0.34754517764437,0.939835877481054,"OR"
"1615",1968,0.568474156885023,0.354144485296211,0.889552587688296,"OR"
"1616",1969,0.535941788840686,0.344162541546537,0.812688294613569,"OR"
"1617",1970,0.48352409361254,0.321510601308332,0.70314439051706,"OR"
"1618",1971,0.453087512217857,0.30976415464106,0.640848799935492,"OR"
"1619",1972,0.428858054542885,0.29810452518355,0.598853814627557,"OR"
"1620",1973,0.404785667214511,0.28443778274928,0.561376717084567,"OR"
"1621",1974,0.405002375030863,0.28760004258064,0.554471394195486,"OR"
"1622",1975,0.405747986844858,0.294077038952419,0.552885415779255,"OR"
"1623",1976,0.408308209173927,0.29292521031976,0.551132152295235,"OR"
"1624",1977,0.390655295533324,0.278559484782766,0.529996067561639,"OR"
